fips,d03012021
36097,18.0
36099,69.0
36101,77.0
36103,4226.0
36105,126.0
36107,46.0
36109,59.0
36111,289.0
36113,65.0
36115,84.0
36117,85.0
36119,3080.0
36121,55.0
36123,5.0
37001,327.0
37003,62.0
37005,6.0
37007,41.0
37009,41.0
37011,29.0
37013,82.0
37015,37.0
37017,45.0
37019,200.0
37021,479.0
37023,123.0
37025,412.0
37027,135.0
37029,20.0
37031,116.0
37033,38.0
37035,246.0
37037,58.0
37039,33.0
37041,24.0
37043,9.0
37045,199.0
37047,141.0
37049,181.0
37051,540.0
37053,25.0
37055,23.0
37057,193.0
37059,59.0
37061,95.0
37063,312.0
37065,102.0
37067,610.0
37069,224.0
37071,409.0
37073,13.0
37075,10.0
37077,99.0
37079,10.0
37081,847.0
37083,68.0
37085,284.0
37087,57.0
37089,258.0
37091,22.0
37093,73.0
37095,6.0
37097,376.0
37099,82.0
37101,453.0
37103,18.0
37105,127.0
37107,81.0
37109,146.0
37111,74.0
37113,41.0
37115,25.0
37117,33.0
37119,1964.0
37121,14.0
37123,81.0
37125,224.0
37127,197.0
37129,362.0
37131,33.0
37133,220.0
37135,157.0
37137,29.0
37139,52.0
37141,139.0
37143,25.0
37145,92.0
37147,372.0
37149,21.0
37151,355.0
37153,96.0
37155,300.0
37157,138.0
37159,295.0
37161,66.0
37163,234.0
37165,58.0
37167,164.0
37169,53.0
37171,118.0
37173,16.0
37175,58.0
37177,1.0
37179,430.0
37181,140.0
37183,1404.0
37185,30.0
37187,23.0
37189,104.0
37191,111.0
37193,96.0
37195,183.0
37197,54.0
37199,15.0
38001,1.0
38003,8.0
38005,1.0
38007,0.0
38009,10.0
38011,9.0
38013,0.0
38015,81.0
38017,113.0
38019,1.0
38021,2.0
38023,5.0
38025,0.0
38027,1.0
38029,0.0
38031,5.0
38033,2.0
38035,41.0
38037,0.0
38039,0.0
38041,8.0
38043,0.0
38045,0.0
38047,0.0
38049,12.0
38051,1.0
38053,6.0
38055,5.0
38057,2.0
38059,14.0
